date,n_wallets,mean_alpha,std_alpha,var_alpha,mean_lambda,var_lambda,signal_s
2021-07-30,3,1.0,0.0,0.0,2.9816,0.0,0.002671
2021-09-03,3,1.0,0.0,0.0,2.9616,0.0,0.005594
2021-12-03,3,1.0,0.0,0.0,2.9968,0.0,0.000464
2021-12-31,3,1.0,0.0,0.0,2.9679,0.0,0.004666
2022-01-14,8,0.8934,0.2819,0.0795,4.4831,15.8007,0.002807
2022-01-21,8,0.9027,0.2575,0.0663,4.3078,12.1145,0.001111
2022-01-28,4,1.0,0.0,0.0,3.0,0.0,-0.005419
2022-02-11,3,1.0,0.0,0.0,2.9903,0.0,0.001411
2022-02-18,4,0.7661,0.4051,0.1641,6.0,27.0,-0.003025
2022-03-04,7,1.0,0.0,0.0,2.9929,0.0,0.001029
2022-03-11,10,0.9072,0.2785,0.0775,4.1948,12.9725,0.000838
2022-03-18,5,1.0,0.0,0.0,2.9925,0.0,0.001081
2022-03-25,9,1.0,0.0,0.0,2.995,0.0,0.00072
2022-04-01,9,1.0,0.0,0.0,2.9981,0.0,0.000271
2022-04-08,5,1.0,0.0,0.0,2.994,0.0,0.000864
2022-04-15,10,1.0,0.0,0.0,2.9932,0.0,0.000981
2022-04-22,6,0.9653,0.0776,0.006,3.1214,0.0859,0.00141
2022-04-29,7,1.0,0.0,0.0,3.0,0.0,-0.000142
2022-05-06,15,0.968,0.0863,0.0074,3.1216,0.1339,0.001404
2022-05-13,11,0.9419,0.1278,0.0163,3.1334,0.3409,0.01816
2022-05-20,3,0.8608,0.1969,0.0388,3.5669,0.9467,0.017891
2022-05-27,24,0.9772,0.0863,0.0074,2.9233,0.167,0.02665
2022-06-03,19,0.9452,0.2229,0.0497,2.8648,0.0008,0.021095
2022-06-10,10,0.9556,0.1242,0.0154,3.0206,0.3588,0.028084
2022-06-17,6,0.9036,0.1499,0.0225,3.0333,0.4594,0.055522
2022-06-24,33,0.9854,0.0717,0.0051,2.7567,0.1077,0.046871
2022-07-01,16,1.0,0.0,0.0,2.7314,0.0,0.040735
2022-07-08,18,0.9962,0.0146,0.0002,2.8308,0.0019,0.026966
2022-07-15,12,0.9885,0.0258,0.0007,2.8049,0.0059,0.034527
2022-07-22,26,0.9432,0.1877,0.0352,3.428,3.9984,0.019942
2022-07-29,17,0.9983,0.0051,0.0,2.8357,0.0002,0.025216
2022-08-05,5,1.0,0.0,0.0,2.8158,0.0,0.027519
2022-08-12,21,0.9122,0.2598,0.0675,3.8073,9.8784,0.031871
2022-08-19,21,0.9142,0.2358,0.0556,3.8541,9.8833,0.027357
2022-08-26,15,0.834,0.3327,0.1107,4.8009,17.6063,0.02507
2022-09-09,29,0.9295,0.2275,0.0518,3.1432,3.5211,0.037324
2022-09-16,15,0.9267,0.2483,0.0616,2.93,0.0034,0.013541
2022-09-23,4,1.0,0.0,0.0,2.9529,0.0,0.006881
2022-09-30,15,0.9851,0.0556,0.0031,3.0322,0.0453,0.003598
2022-10-07,27,0.8216,0.3612,0.1304,4.6916,16.2438,0.004545
2022-10-14,10,1.0,0.0,0.0,2.9647,0.0,0.005142
2022-10-21,14,0.9998,0.0007,0.0,2.9822,0.0,0.002675
2022-10-28,17,0.8642,0.3003,0.0902,4.5195,13.6883,0.001605
2022-11-04,16,0.8454,0.2975,0.0885,4.6651,14.2467,0.001459
2022-11-11,10,0.6988,0.404,0.1632,6.5302,27.7441,0.00918
2022-11-18,13,0.8771,0.2743,0.0752,4.0607,10.2246,0.01043
2022-11-25,11,0.8505,0.3071,0.0943,4.308,12.4144,0.021179
2022-12-02,17,0.8006,0.3393,0.1151,3.4428,1.2239,0.011271
2022-12-09,7,0.8571,0.3499,0.1224,2.9163,0.0,0.012292
2022-12-16,15,0.9574,0.0902,0.0081,3.081,0.1252,0.012049
2022-12-23,16,0.9143,0.2525,0.0638,3.0387,0.185,0.011185
2022-12-30,10,0.9313,0.1466,0.0215,3.2704,0.7134,0.011348
2023-01-06,6,0.8441,0.3397,0.1154,4.9394,20.2437,0.012437
2023-01-13,11,1.0,0.0,0.0,2.9479,0.0,0.007603
2023-01-20,16,1.0,0.0,0.0,2.972,0.0,0.004068
2023-01-27,3,1.0,0.0,0.0,2.9812,0.0,0.002729
2023-02-03,11,0.9032,0.2861,0.0819,3.0045,0.0037,0.002339
2023-02-10,11,0.9139,0.2673,0.0715,4.0729,11.9403,0.003583
2023-02-17,14,0.9956,0.0159,0.0003,3.0012,0.0026,0.001877
2023-02-24,8,1.0,0.0,0.0,2.9819,0.0,0.002633
2023-03-10,19,0.9466,0.2231,0.0498,2.9911,0.0001,0.001653
2023-03-17,12,0.9822,0.0553,0.0031,3.049,0.0426,0.002429
2023-03-24,3,1.0,0.0,0.0,2.9653,0.0,0.005059
2023-03-31,12,0.9127,0.2739,0.075,3.9904,11.0213,0.003721
2023-04-07,13,0.8634,0.313,0.098,4.5231,13.5421,0.003504
2023-04-14,15,0.9808,0.0542,0.0029,3.0643,0.0408,0.00078
2023-04-21,5,0.9471,0.1058,0.0112,3.1958,0.184,0.002717
2023-04-28,8,0.9902,0.0258,0.0007,3.0157,0.007,0.002308
2023-05-05,18,0.9843,0.0493,0.0024,3.0488,0.0335,0.001156
2023-05-12,9,0.867,0.3106,0.0965,4.4084,14.0801,0.001669
2023-05-26,18,0.9329,0.2292,0.0526,3.7036,7.5366,0.001135
